"V1" "V2" "V3" "V4"
"1" 3 2 75 22688
"2" 4 2 575 22688
"3" 5 2 1000 22688
"4" 6 2 225 22688
"5" 7 2 -375 22688
"6" 8 2 -575 22688
"7" 9 2 675 22688
"8" 10 2 -50 22688
"9" 11 2 -150 22688
"10" 12 2 -1520 22688
"11" 14 13 -64 23723
"12" 15 13 -1840 23723
"13" 16 13 -6496 23723
"14" 17 13 304 23723
"15" 21 20 -626116 45477
"16" 22 20 2768 45477
"17" 23 20 -544 45477
"18" 24 20 -3104 45477
"19" 25 20 -6352 45477
"20" 26 20 -1136 45477
"21" 27 20 -16 45477
"22" 28 20 -26512 45477
"23" 30 29 -480 53855
"24" 32 31 -368 59748
"25" 33 31 -125456 59748
"26" 35 34 -2336 59771
"27" 36 34 80 59771
"28" 37 34 -2896 59771
"29" 38 34 33968 59771
"30" 22 39 672 67837
"31" 40 39 96 67837
"32" 41 39 576 67837
"33" 42 39 2576 67837
"34" 44 43 1232 77001
"35" 45 43 32 77001
"36" 49 48 -1136 225993
"37" 50 30 480 234004
"38" 53 52 -16 306563
"39" 56 48 -16 316005
"40" 57 48 -16 350908
"41" 58 48 -2873 477305
"42" 60 59 -864 482831
"43" 13 15 1840 483257
"44" 61 15 80 483257
"45" 62 48 -96 489519
"46" 64 1 -30784 508588
"47" 66 65 1824 651520
"48" 67 48 22282 128975
"49" 68 52 -48 308703
"50" 69 52 -4944 308703
"51" 70 52 -3552 308703
"52" 14 63 -528 586179
"53" 72 71 192 674395
"54" 73 71 -288 674395
"55" 74 71 0 674395
"56" 13 14 -96 676259
"57" 52 70 3520 943832
"58" 53 70 -2928 943832
"59" 76 78 432 1009612
"60" 81 80 544 329015
"61" 48 82 -1616 343595
"62" 83 82 -32688 343595
"63" 84 82 -34080 343595
"64" 85 82 384 343595
"65" 86 82 -1312 343595
"66" 87 82 -32 343595
"67" 89 88 672 819929
"68" 90 88 4224 819929
"69" 91 88 464 819929
"70" 92 88 -112 819929
"71" 93 88 -1616 819929
"72" 94 88 -3104 819929
"73" 98 48 31371 939635
"74" 99 48 93280 939635
"75" 100 48 19856 939635
"76" 101 48 42016 939635
"77" 102 48 18048 939635
"78" 103 48 120595 939635
"79" 104 48 46208 939635
"80" 105 48 24528 939635
"81" 106 70 -2480 940172
"82" 48 110 16 1020202
"83" 111 110 0 1020202
"84" 112 110 4544 1020202
"85" 113 110 -55904 1020202
"86" 114 110 -3664 1020202
"87" 115 110 2224 1020202
"88" 11 110 7024 1020202
"89" 9 110 -16 1020202
"90" 118 59 -112 1089331
"91" 48 52 32 679336
"92" 119 52 192 679336
"93" 120 52 -228504 679336
"94" 121 52 -960 679336
"95" 122 113 40464 679770
"96" 124 123 -75 128596
"97" 125 123 -75 128596
"98" 126 123 -25 128596
"99" 127 123 -25 128596
"100" 128 123 -50 128596
"101" 129 123 -25 128596
"102" 130 123 -25 128596
"103" 131 123 -75 128596
"104" 132 123 -25 128596
"105" 134 133 -608 144947
"106" 135 133 -32 144947
"107" 136 133 5888 144947
"108" 139 138 384 169446
"109" 140 138 1050 169446
"110" 141 138 1050 169446
"111" 142 138 -10512 169446
"112" 143 138 76400 169446
"113" 144 138 1025 169446
"114" 145 138 66192 169446
"115" 146 138 1075 169446
"116" 147 138 556 169446
"117" 148 138 -6581 169446
"118" 152 151 -32288 1077816
"119" 153 151 -11744 1077816
"120" 154 151 -3024 1077816
"121" 155 151 96 1077816
"122" 156 151 416 1077816
"123" 157 151 4224 1077816
"124" 158 151 1824 1077816
"125" 103 21 642560 663869
"126" 48 159 7424 741521
"127" 160 159 -512 741521
"128" 161 48 -192 828363
"129" 163 162 2928 872382
"130" 164 48 -48 950165
"131" 115 78 6768 186618
"132" 111 166 6640 219918
"133" 9 166 153312 219918
"134" 110 112 -5136 127949
"135" 167 112 784 127949
"136" 168 112 16 127949
"137" 9 21 77328 663695
"138" 169 21 21440 663695
"139" 11 21 110944 663695
"140" 170 21 404051 663695
"141" 20 21 483812 663695
"142" 171 21 113975 663695
"143" 172 21 42528 663695
"144" 173 21 667178 663695
"145" 174 21 32192 663695
"146" 111 176 110816 767728
"147" 106 166 672 219804
"148" 8 166 90592 219804
"149" 20 166 1376 219804
"150" 177 166 -560 219804
"151" 178 166 11536 219804
"152" 179 166 27664 219804
"153" 180 166 130085 219804
"154" 52 182 192 246850
"155" 183 182 256 246850
"156" 115 184 -8240 410760
"157" 185 184 512 410760
"158" 186 184 336 410760
"159" 187 15 40608 483387
"160" 188 15 7040 483387
"161" 189 15 240464 483387
"162" 190 15 379023 483387
"163" 191 15 3440 483387
"164" 192 15 3744 483387
"165" 193 15 87168 483387
"166" 194 15 -20620 483387
"167" 114 195 3040 497258
"168" 177 196 -80 790268
"169" 78 13 -9184 795294
"170" 198 197 -1056 818822
"171" 199 197 -16784 818822
"172" 201 200 32848 680576
"173" 202 200 1360 680576
"174" 203 200 3840 680576
"175" 204 200 7040 680576
"176" 198 166 24448 220048
"177" 206 205 1488 229254
"178" 207 205 -480 229254
"179" 208 205 -80 229254
"180" 209 205 1296 229254
"181" 210 205 -1872 229254
"182" 211 205 0 229254
"183" 48 182 -9696 247437
"184" 214 213 35328 307616
"185" 134 213 -512 307616
"186" 215 213 1376 307616
"187" 216 213 22496 307616
"188" 162 213 -896 307616
"189" 217 213 4640 307616
"190" 218 48 -256 1100287
"191" 214 113 217641 1092125
"192" 110 113 55696 1092125
"193" 219 113 11456 1092125
"194" 220 113 230224 1092125
"195" 221 113 -7184 1092125
"196" 222 113 46640 1092125
"197" 223 113 7744 1092125
"198" 224 113 41464 1092125
"199" 226 225 17008 1074474
"200" 227 112 6544 132797
"201" 228 112 -192 132797
"202" 229 112 1968 132797
"203" 230 112 -912 132797
"204" 231 112 -384 132797
"205" 232 112 -3216 132797
"206" 233 112 3984 132797
"207" 234 213 40288 307510
"208" 235 213 976 307510
"209" 236 213 -192 307510
"210" 237 213 -4384 307510
"211" 240 239 0 861878
"212" 241 239 368 861878
"213" 242 239 1904 861878
"214" 243 239 -1296 861878
"215" 244 239 528 861878
"216" 245 239 18595 861878
"217" 246 239 0 861878
"218" 247 239 27781 861878
"219" 248 239 -1968 861878
"220" 249 239 -384 861878
"221" 103 162 1616 872673
"222" 213 162 -768 872673
"223" 22 162 -720 872673
"224" 250 162 -1840 872673
"225" 251 162 6176 872673
"226" 252 162 2864 872673
"227" 253 162 -45504 872673
"228" 254 162 3040 872673
"229" 255 162 336 872673
"230" 237 225 -6032 1071108
"231" 258 59 -304 923771
"232" 259 59 12512 923771
"233" 260 59 -272 923771
"234" 219 171 -384 416551
"235" 177 171 -880 416551
"236" 261 171 976 416551
"237" 262 171 3008 416551
"238" 263 171 6032 416551
"239" 264 171 6688 416551
"240" 265 171 -112 416551
"241" 266 171 -8336 416551
"242" 267 171 704 416551
"243" 269 268 -6416 423994
"244" 270 268 801 423994
"245" 271 268 16 423994
"246" 272 257 -29920 1102734
"247" 273 257 -4192 1102734
"248" 274 257 -13424 1102734
"249" 111 275 3280 356161
"250" 276 64 1504 429027
"251" 90 64 -2112 429027
"252" 277 64 -560 429027
"253" 110 278 -48 433936
"254" 3 278 24768 433936
"255" 21 278 -8960 433936
"256" 24 278 15824 433936
"257" 83 278 0 433936
"258" 279 278 928 433936
"259" 280 278 816 433936
"260" 281 278 -4464 433936
"261" 282 37 -5888 510751
"262" 283 37 -80 510751
"263" 284 37 -992 510751
"264" 285 37 -112 510751
"265" 63 14 480 520779
"266" 288 287 -3088 608371
"267" 72 289 2192 652553
"268" 52 119 -240 726180
"269" 9 119 32 726180
"270" 51 52 -3760 720626
"271" 261 293 16 863470
"272" 78 76 -496 978218
"273" 295 59 2576 675757
"274" 296 59 -784 675757
"275" 240 59 1520 675757
"276" 297 59 -784 675757
"277" 298 59 11568 675757
"278" 299 200 -17115 859667
"279" 134 200 29296 859667
"280" 300 200 8832 859667
